sellerCountry,sellBy,itemCode,quantity,moneyPerUnit,buyerCountry,buyerBy,totalMoney,updatedAt
Chile,Sebatron618,cookedFish,9,4.75,,completo_con_chucrut,42.75,22/07/2025 18:29
Chile,Sebatron618,cookedFish,1,4.75,,El_Tata,4.75,22/07/2025 18:27
Chile,Sebatron618,cookedFish,1,4.75,,ObdulioVarela,4.75,22/07/2025 18:26
Chile,Sebatron618,cookedFish,4,4.75,,ObdulioVarela,19.0,22/07/2025 18:25
Chile,Sebatron618,cookedFish,28,4.51,,completo_con_chucrut,126.28,22/07/2025 18:14
Chile,Sebatron618,steak,10,2.018,,hexxu,20.18,22/07/2025 17:54
Chile,Sebatron618,steak,2,2.018,,Zelfken,4.036,22/07/2025 17:50
Chile,Sebatron618,steak,8,2.018,Bahrain,Pudu-Prat,16.144,22/07/2025 17:40
Chile,Sebatron618,steak,5,2.018,,Kakanis395,10.09,22/07/2025 17:37
Chile,Sebatron618,steak,3,2.018,,Matthomsom,6.054,22/07/2025 17:25
Chile,Sebatron618,steak,2,2.018,,GregoryBraun,4.036,22/07/2025 17:09
Chile,Sebatron618,steak,2,2.018,,Jazzek,4.036,22/07/2025 17:04
Chile,Sebatron618,steak,7,2.018,,user_HMWHS0,14.126,22/07/2025 16:53
,Elebreaka,cookedFish,3,4.36,Chile,Sebatron618,13.08,22/07/2025 16:53
,xXLioXx,cookedFish,5,4.36,Chile,Sebatron618,21.8,22/07/2025 16:51
,Kenobis,cookedFish,7,4.36,Chile,Sebatron618,30.52,22/07/2025 16:33
Belize,meatie_swe,oil,200,0.08,Chile,Sebatron618,16.0,22/07/2025 16:17
,Tutu_Lenki,oil,704,0.079,Chile,Sebatron618,55.616,22/07/2025 16:17
Saudi Arabia,NOLEX,oil,356,0.078,Chile,Sebatron618,27.768,22/07/2025 16:17
Chile,Sebatron618,ammo,16,0.53,,SPMarine,8.48,22/07/2025 15:53
Chile,Sebatron618,ammo,20,0.53,,Dhelk,10.6,22/07/2025 15:46
Chile,Sebatron618,ammo,4,0.53,,Niesterday,2.12,22/07/2025 15:46
Chile,Sebatron618,ammo,4,0.53,,Niesterday,2.12,22/07/2025 15:44
Chile,Sebatron618,ammo,30,0.53,,Toryl,15.9,22/07/2025 15:35
Chile,Sebatron618,ammo,12,0.53,,LorenzoMendoza,6.36,22/07/2025 15:04
Chile,Sebatron618,ammo,14,0.53,,TheBoss,7.42,22/07/2025 14:47
Chile,Sebatron618,heavyAmmo,2,1.91,,Alejo,3.82,22/07/2025 09:14
Chile,Sebatron618,heavyAmmo,10,1.91,,Duvhok,19.1,22/07/2025 09:13
Chile,Sebatron618,heavyAmmo,10,1.91,,Alejo,19.1,22/07/2025 09:12
Chile,Sebatron618,heavyAmmo,20,1.91,,omar,38.2,22/07/2025 08:13
Chile,Sebatron618,heavyAmmo,49,1.91,,Duvhok,93.59,22/07/2025 06:48
,MrPolaris,oil,20,0.065,Chile,Sebatron618,1.3,22/07/2025 04:12
